,county,diquat
478,"Georgetown, South Carolina",0.0
479,"Gibson, Indiana",0.0
480,"Gila, Arizona",0.0
481,"Gilchrist, Florida",0.0
482,"Giles, Tennessee",0.0
483,"Giles, Virginia",0.0
484,"Gilliam, Oregon",0.0
485,"Glacier, Montana",0.0
486,"Glades, Florida",0.0
487,"Gogebic, Michigan",0.0
488,"Goodhue, Minnesota",0.0
489,"Gooding, Idaho",0.0
490,"Gosper, Nebraska",0.0
491,"Graham county, Arizona",0.0
492,"Graham, Arizona",0.0
493,"Grant, Arkansas",0.0
494,"Grant, Indiana",0.0
495,"Grant, Kentucky",0.0
496,"Grant, Louisiana",0.0
497,"Grant, Nebraska",0.0
498,"Grant, New Mexico",0.0
499,"Grant, North Dakota",0.0
500,"Grant, Oregon",0.0
501,"Grant, South Dakota",0.0
502,"Grant, Washington",0.0
503,"Grant, Wisconsin",0.0
504,"Graves, Kentucky",0.0
505,"Grayson, Kentucky",0.0
506,"Greeley, Nebraska",0.0
507,"Green lake, Wisconsin",0.0
508,"Green, Kentucky",0.0
509,"Green, Wisconsin",0.0
510,"Greene, Alabama",0.0
511,"Greene, Arkansas",0.0
512,"Greene, Illinois",0.0
513,"Greene, Indiana",0.0
514,"Greene, Missouri",0.0
515,"Greene, Ohio",0.0
516,"Greene, Pennsylvania",0.0
517,"Greenlee, Arizona",0.0
518,"Greensville, Virginia",0.0
519,"Greenup, Kentucky",0.0
520,"Greenville, South Carolina",0.0
521,"Greenwood, South Carolina",0.0
522,"Gregory, South Dakota",0.0
523,"Grundy, Illinois",0.0
524,"Guadalupe, New Mexico",0.0
525,"Gulf, Florida",0.0
526,"Hale, Alabama",0.0
527,"Hall, Nebraska",0.0
528,"Hamilton, Florida",0.0
529,"Hamilton, Indiana",0.0
530,"Hamilton, Nebraska",0.0
531,"Hamilton, Ohio",0.0
532,"Hamilton, Tennessee",0.0
533,"Hamlin, South Dakota",0.0
534,"Hampton, South Carolina",0.0
535,"Hancock, Illinois",0.0
536,"Hancock, Indiana",0.0
537,"Hancock, Kentucky",0.0
538,"Hanover, Virginia",0.0
539,"Hardee, Florida",0.0
540,"Hardin, Illinois",0.0
541,"Hardin, Kentucky",0.0
542,"Harding, New Mexico",0.0
543,"Harford, Maryland",0.0
544,"Harlan, Kentucky",0.0
545,"Harlan, Nebraska",0.0
546,"Harney, Oregon",0.0
547,"Harrison, Indiana",0.0
548,"Harrison, Kentucky",0.0642857142857143
549,"Hart, Kentucky",0.0
550,"Hartford, Connecticut",0.0
551,"Hawaii, Hawaii",0.0
552,"Hayes, Nebraska",0.0
553,"Hempstead, Arkansas",0.0
554,"Henderson, Illinois",0.0
555,"Henderson, Kentucky",0.0
556,"Hendricks, Indiana",0.0
557,"Hendry, Florida",0.0
558,"Henry, Alabama",0.0
559,"Henry, Illinois",0.0
560,"Henry, Indiana",0.0
561,"Henry, Kentucky",0.0
562,"Henry, Ohio",0.0
563,"Herkimer, New York",0.0
564,"Hernando, Florida",0.0
565,"Hickman, Kentucky",0.0
566,"Hidalgo, New Mexico",0.0
567,"Highland, Ohio",0.0
568,"Highlands, Florida",0.0
569,"Hills, Florida",0.002496385542168675
570,"Hills, New Hampshire",0.0
571,"Hillsborough county, Florida",0.0
572,"Hillsborough, Florida",0.0
573,"Hitchcock, Nebraska",0.0
574,"Hocking, Ohio",0.0
575,"Holmes, Florida",0.0
576,"Holmes, Ohio",0.0
577,"Holt, Nebraska",0.0
578,"Honolulu, Hawaii",0.0
579,"Hood river, Oregon",0.0
580,"Hooker, Nebraska",0.0
581,"Hopewell, Virginia",0.0
582,"Hopkins, Kentucky",0.0
583,"Horry, South Carolina",0.0
584,"Hot spring, Arkansas",0.0
585,"Houston, Alabama",0.0
586,"Howard, Arkansas",0.0
587,"Howard, Indiana",0.0
588,"Howard, Nebraska",0.0
589,"Hughes, South Dakota",0.0
590,"Humboldt, Nevada",0.0
591,"Huntingdon, Pennsylvania",0.0
592,"Huntington, Indiana",0.0
593,"Huron, Ohio",0.0
594,"Iberia parish, Louisiana",0.0
595,"Iberia, Louisiana",0.0
596,"Iberville, Louisiana",0.0
597,"Idaho, Idaho",0.0
598,"Imperial, California",0.0
599,"Independence, Arkansas",0.0
600,"Indian river, Florida",0.0
601,"Indiana, Pennsylvania",0.0
602,"Inyo, California",0.0
603,"Iowa, Wisconsin",0.0
604,"Iron, Wisconsin",0.0
605,"Iroquois, Illinois",0.0
606,"Isabella, Michigan",0.0
607,"Izard, Arkansas",0.0
608,"Jackson county, Florida",0.0
609,"Jackson, Alabama",0.0
610,"Jackson, Arkansas",0.0
611,"Jackson, Florida",0.0
612,"Jackson, Illinois",0.0
613,"Jackson, Indiana",0.0
614,"Jackson, Kentucky",0.0
615,"Jackson, Louisiana",0.0
616,"Jackson, Oregon",0.0
617,"Jackson, Wisconsin",0.0
618,"James city, Virginia",0.0
619,"Jasper, Illinois",0.0
620,"Jasper, Indiana",0.0
621,"Jasper, Missouri",0.0
622,"Jasper, South Carolina",0.0
623,"Jay, Indiana",0.0
624,"Jefferson county, Florida",0.0
625,"Jefferson county, Pennsylvania",0.0
626,"Jefferson davis, Louisiana",0.0
627,"Jefferson, Alabama",0.003738317757009346
628,"Jefferson, Arkansas",0.0
629,"Jefferson, Florida",0.0
630,"Jefferson, Idaho",0.0
631,"Jefferson, Indiana",0.0
632,"Jefferson, Kentucky",0.0
633,"Jefferson, Louisiana",0.0
634,"Jefferson, Nebraska",0.0
635,"Jefferson, New York",0.0
636,"Jefferson, Oregon",0.0
637,"Jefferson, Pennsylvania",0.017777777777777778
638,"Jefferson, West Virginia",0.0
639,"Jefferson, Wisconsin",0.0
640,"Jennings, Indiana",0.0
641,"Jerome, Idaho",0.0
642,"Jersey, Illinois",0.0
643,"Jessamine, Kentucky",0.0
644,"Jo daviess, Illinois",0.0
645,"Johnson, Arkansas",0.0
646,"Johnson, Illinois",0.0
647,"Johnson, Indiana",0.0
648,"Johnson, Kansas",0.0
649,"Johnson, Kentucky",0.0
650,"Johnson, Missouri",0.0
651,"Johnson, Nebraska",0.0
652,"Josephine, Oregon",0.0
653,"Juneau city and, Alaska",0.0
654,"Juneau, Wisconsin",0.0
655,"Juniata, Pennsylvania",0.0
656,"Kanawha, West Virginia",0.0
657,"Kane, Illinois",0.0
658,"Kankakee, Illinois",0.0
659,"Kauai, Hawaii",0.0
660,"Kearney, Nebraska",0.0
661,"Keith, Nebraska",0.0
662,"Kendall, Illinois",0.0
663,"Kenosha, Wisconsin",0.0
664,"Kenton, Kentucky",0.0
665,"Kern, California",0.0
666,"Kershaw, South Carolina",0.0
667,"Ketchikan gateway, Alaska",0.0
668,"Kewaunee, Wisconsin",0.0
669,"Keya paha, Nebraska",0.0
670,"Kimball, Nebraska",0.0
671,"King william, Virginia",0.0
672,"King, Washington",0.0
673,"Kings, California",0.0
674,"Kingsbury, South Dakota",0.0
675,"Klamath, Oregon",0.0
676,"Knott, Kentucky",0.0
677,"Knox, Illinois",0.0
678,"Knox, Indiana",0.0
679,"Knox, Kentucky",0.06363636363636363
680,"Knox, Nebraska",0.0
681,"Knox, Ohio",0.0
682,"Knox, Tennessee",0.0
683,"Koochiching county, Minnesota",0.0
684,"Kootenai, Idaho",0.0
685,"Kosciusko, Indiana",0.0
686,"La crosse, Wisconsin",0.0
687,"La grange, Indiana",0.0
688,"La paz, Arizona",0.0
689,"La plata, Colorado",0.0
690,"La porte, Indiana",0.0
691,"La salle, Illinois",0.0
692,"La salle, Louisiana",0.0
693,"Lackawanna, Pennsylvania",0.0
694,"Lafayette parish, Louisiana",0.0
695,"Lafayette, Arkansas",0.0
