,county,uranium_combined
405,"Durham, North Carolina",1.6669821999999999
406,"Dutchess, New York",4.278366886597932
407,"Duval, Florida",0.043258064516129034
408,"East baton rouge parish, Louisiana",0.0
409,"East baton rouge, Louisiana",0.039910714285714285
410,"East carroll, Louisiana",0.0
411,"East feliciana, Louisiana",0.0
412,"Eau claire, Wisconsin",0.0
413,"Ector, Texas",29.30091428571429
414,"Eddy, New Mexico",0.9368443137254904
415,"Eddy, North Dakota",1.344
416,"Edgecombe, North Carolina",0.0
417,"Edgefield, South Carolina",1.4714285714285715
418,"Edmonson, Kentucky",0.0
419,"Effingham, Illinois",2.086
420,"El dorado, California",8.116071428571427
421,"Elk, Pennsylvania",0.0
422,"Elkhart, Indiana",0.11729999999999999
423,"Elko, Nevada",8.379966666666668
424,"Elliott, Kentucky",1.5
425,"Ellis, Oklahoma",1.8125
426,"Ellsworth, Kansas",3.3599999999999994
427,"Elmore, Idaho",2.536
428,"Emmons, North Dakota",1.0543333333333333
429,"Erath, Texas",18.234652173913044
430,"Erie county, Pennsylvania",0.0
431,"Erie, New York",0.0
432,"Erie, Pennsylvania",0.0820522549019608
433,"Escambia, Alabama",0.596
434,"Escambia, Florida",0.12913333333333335
435,"Esmeralda, Nevada",13.7
436,"Essex, Massachusetts",0.125
437,"Essex, New Jersey",2.329133238095238
438,"Essex, Vermont",0.31428571428571433
439,"Essex, Virginia",0.0
440,"Eureka, Nevada",3.514999999999999
441,"Evangeline parish, Louisiana",0.65
442,"Evangeline, Louisiana",0.0
443,"Fairbanks north star, Alaska",5.52090909090909
444,"Fairfax, Virginia",0.10915384615384614
445,"Fairfield, Connecticut",32.9936058606213
446,"Fairfield, South Carolina",18.4
447,"Fall river, South Dakota",0.0
448,"Fallon, Montana",1.3333333333333333
449,"Faribault, Minnesota",4.65178
450,"Faulk, South Dakota",0.0
451,"Fauquier, Virginia",2.0933333333333333
452,"Fayette, Kentucky",0.3961428571428571
453,"Fayette, Pennsylvania",0.23177777777777778
454,"Fayette, Texas",6.0
455,"Fergus, Montana",3.1818181818181817
456,"Ferry, Washington",23.94690833333333
457,"Fillmore, Minnesota",0.0
458,"Fillmore, Nebraska",3.278
459,"Finney, Kansas",26.007407407407406
460,"Flagler, Florida",0.7946666666666666
461,"Flathead, Montana",5.385258215962441
462,"Florence, South Carolina",0.008333333333333333
463,"Florence, Wisconsin",0.9850000000000001
464,"Floyd, Texas",10.0
465,"Fluvanna, Virginia",1.7483333333333333
466,"Fond du lac, Wisconsin",0.595037038888889
467,"Ford, Kansas",23.875
468,"Forest, Pennsylvania",0.0
469,"Forest, Wisconsin",0.55
470,"Forsyth, North Carolina",2.496006896551724
471,"Fort bend, Texas",0.1375
472,"Foster, North Dakota",0.49
473,"Franklin county, Pennsylvania",0.0
474,"Franklin, Indiana",0.0
475,"Franklin, Louisiana",0.07842105263157895
476,"Franklin, Massachusetts",0.39475
477,"Franklin, Missouri",1.0181666666666667
478,"Franklin, Nebraska",21.921625
479,"Franklin, North Carolina",0.29788359374999995
480,"Franklin, Pennsylvania",0.9589165909090909
481,"Franklin, Vermont",1.1176153846153847
482,"Franklin, Virginia",2.7864285714285715
483,"Franklin, Washington",13.548095238095238
484,"Frederick, Maryland",11.584253333333338
485,"Frederick, Virginia",0.0
486,"Freeborn, Minnesota",0.0
487,"Fremont, Idaho",1.8900000000000001
488,"Fremont, Iowa",26.75
489,"Fremont, Wyoming",8.145333333333333
490,"Fresno, California",10.943383155214034
491,"Fulton, Illinois",0.33105728788235295
492,"Fulton, Indiana",0.1946090909090909
493,"Fulton, New York",0.10321636363636365
494,"Fulton, Pennsylvania",0.0
495,"Furnas, Nebraska",17.6714
496,"Gage, Nebraska",5.562666666666666
497,"Gallatin, Kentucky",0.4021275
498,"Gallatin, Montana",2.82862898989899
499,"Garfield, Montana",0.0
500,"Garfield, Oklahoma",3.790909090909091
501,"Garrard, Kentucky",0.4917
502,"Garvin, Oklahoma",1.5074626865671643
503,"Garza, Texas",24.07
504,"Gaston, North Carolina",8.335541145833337
505,"Gem, Idaho",1.0
506,"Georgetown, South Carolina",0.0
507,"Gila, Arizona",4.245454545454545
508,"Gillespie, Texas",4.443210526315789
509,"Gilliam, Oregon",1.025
510,"Glacier, Montana",2.25
511,"Glades, Florida",0.019866666666666668
512,"Glasscock, Texas",14.198
513,"Glenn, California",1.33355
