,county,combinded_radium
619,"Gem, Idaho",0.205
620,"Genesee, New York",0.7779666666666666
621,"Geneva, Alabama",0.75
622,"Gentry, Missouri",0.13333333333333333
623,"Georgetown, South Carolina",0.10526315789473684
624,"Gila, Arizona",0.05591397849462366
625,"Gillespie, Texas",5.743333333333333
626,"Gilliam, Oregon",0.26666666666666666
627,"Glacier, Montana",0.23
628,"Glasscock, Texas",1.7
629,"Gloucester, New Jersey",2.1803651685393257
630,"Gloucester, Virginia",1.34
631,"Golden valley, Montana",0.0
632,"Goliad, Texas",1.06
633,"Gonzales, Texas",2.8000000000000003
634,"Goochland, Virginia",1.0050000000000001
635,"Goodhue, Minnesota",3.8
636,"Gooding, Idaho",0.3325
637,"Goshen, Wyoming",1.0932467532467536
638,"Gosper, Nebraska",0.26
639,"Gove, Kansas",0.982
640,"Grady, Oklahoma",0.5191161290322581
641,"Grafton, New Hampshire",0.4208467741935483
642,"Graham, Arizona",0.027777777777777776
643,"Graham, Kansas",0.335
644,"Graham, North Carolina",0.43333333333333335
645,"Grand forks, North Dakota",0.6287500000000001
646,"Grand isle, Vermont",0.0
647,"Granite, Montana",0.0
648,"Grant, Kansas",0.71
649,"Grant, Nebraska",0.0
650,"Grant, New Mexico",0.41375000000000006
651,"Grant, North Dakota",0.0
652,"Grant, Oklahoma",1.3092916666666665
653,"Grant, Oregon",0.0
654,"Grant, South Dakota",0.0
655,"Grant, Washington",1.7341081081081078
656,"Grant, West Virginia",0.73
657,"Grant, Wisconsin",2.048235294117647
658,"Granville, North Carolina",0.0
659,"Graves, Kentucky",0.925
660,"Gray, Kansas",0.40476190476190477
661,"Gray, Texas",0.08666666666666667
662,"Grayson, Kentucky",0.3781818181818182
663,"Grayson, Texas",4.877368421052632
664,"Grayson, Virginia",2.05
665,"Greeley, Kansas",0.5
666,"Greeley, Nebraska",1.16
667,"Green lake, Wisconsin",1.711666666666667
668,"Green, Wisconsin",2.8635714285714284
669,"Greenbrier, West Virginia",1.5866666666666667
670,"Greene, Illinois",1.1489473684210527
671,"Greene, Iowa",3.0375
672,"Greene, Missouri",0.3590909090909091
673,"Greene, New York",0.9464981132075473
674,"Greene, North Carolina",0.4666666666666666
675,"Greene, Ohio",1.0
676,"Greene, Virginia",1.55
677,"Greenlee, Arizona",0.225
678,"Greenville, South Carolina",0.0
679,"Greenwood, Kansas",1.3
680,"Greenwood, South Carolina",0.1142857142857143
681,"Greer, Oklahoma",0.3038518518518518
682,"Gregg, Texas",1.2857142857142858
683,"Gregory, South Dakota",0.0
684,"Griggs, North Dakota",0.71825
685,"Grimes, Texas",2.8
686,"Grundy, Illinois",3.901729508196721
687,"Grundy, Iowa",4.640000000000001
688,"Grundy, Missouri",0.1
689,"Guadalupe, New Mexico",0.07333333333333333
690,"Guadalupe, Texas",1.375
691,"Guilford, North Carolina",1.60448275862069
692,"Guillford, North Carolina",0.0
