,county,heptachlor_epoxide
651,"Eaton, Michigan",0.0
652,"Eau claire, Wisconsin",0.0
653,"Ector, Texas",0.0
654,"Eddy, New Mexico",0.0
655,"Eddy, North Dakota",0.0
656,"Edgar, Illinois",0.0
657,"Edgecombe, North Carolina",0.0
658,"Edmonson, Kentucky",0.0
659,"Edwards, Illinois",0.0
660,"Edwards, Texas",0.0
661,"Effingham, Illinois",0.0
662,"El dorado, California",0.0
663,"El paso, Texas",0.0
664,"Elk, Kansas",0.0
665,"Elk, Pennsylvania",0.0
666,"Elkhart, Indiana",0.0
667,"Elko, Nevada",0.0
668,"Elliott, Kentucky",0.0
669,"Ellis, Texas",0.0
670,"Ellsworth, Kansas",0.0
671,"Elmore, Alabama",0.0
672,"Elmore, Idaho",0.0
673,"Emery, Utah",0.0
674,"Emmet, Michigan",0.0
675,"Emmons, North Dakota",0.0
676,"Erath, Texas",0.0
677,"Erie county, Pennsylvania",0.0
678,"Erie, New York",0.0
679,"Erie, Pennsylvania",0.0
680,"Escambia, Alabama",0.0
681,"Escambia, Florida",0.0008473333333333335
682,"Esmeralda, Nevada",0.0
683,"Essex county, New York",0.0
684,"Essex, Massachusetts",0.0
685,"Essex, New Jersey",0.0
686,"Essex, New York",0.0
687,"Essex, Vermont",0.0
688,"Estill, Kentucky",0.0
689,"Etowah, Alabama",0.0
690,"Eureka county, Nevada",0.0
691,"Eureka, Nevada",0.0
692,"Evangeline parish, Louisiana",0.0
693,"Evangeline, Louisiana",0.0
694,"Fairbanks north star, Alaska",0.0
695,"Fairfax, Virginia",0.0
696,"Fairfield, Connecticut",0.0
697,"Fairfield, South Carolina",0.0
698,"Fall river, South Dakota",0.0
699,"Fallon, Montana",0.0
700,"Falls, Texas",0.0
701,"Fannin, Texas",0.0
702,"Faulk, South Dakota",0.0
703,"Fauquier, Virginia",0.0
704,"Fayette, Alabama",0.0
705,"Fayette, Illinois",0.0
706,"Fayette, Indiana",0.0
707,"Fayette, Kentucky",0.0
708,"Fayette, Pennsylvania",0.0
709,"Fayette, Texas",0.0
710,"Fayette, West Virginia",0.0
711,"Fergus, Montana",0.0
712,"Ferry, Washington",0.0
713,"Fillmore, Minnesota",0.0
714,"Fillmore, Nebraska",0.002435897435897436
715,"Finney, Kansas",0.0
716,"Fisher, Texas",0.0
717,"Flagler, Florida",0.0
718,"Flathead, Montana",0.0
719,"Fleming, Kentucky",0.0
720,"Florence, South Carolina",0.0
721,"Florence, Wisconsin",0.0
722,"Floyd, Indiana",0.0
723,"Floyd, Kentucky",0.0
724,"Floyd, Texas",0.0
725,"Fluvanna, Virginia",0.0
726,"Foard, Texas",0.0
727,"Fond du lac, Wisconsin",0.0
728,"Ford, Illinois",0.0015238095238095239
729,"Forest, Pennsylvania",0.0
730,"Forest, Wisconsin",0.0
731,"Forsyth, North Carolina",0.0
732,"Fort bend county, Texas",0.0
733,"Fort bend, Texas",0.0
734,"Foster, North Dakota",0.0
735,"Fountain, Indiana",0.0
736,"Franklin county, Missouri",0.0
737,"Franklin county, New York",0.0
738,"Franklin county, Pennsylvania",0.0
739,"Franklin, Alabama",0.0
740,"Franklin, Arkansas",0.0
741,"Franklin, Florida",0.0
742,"Franklin, Idaho",0.0
743,"Franklin, Illinois",0.0
744,"Franklin, Indiana",0.0
745,"Franklin, Kansas",0.0
746,"Franklin, Kentucky",0.0
747,"Franklin, Louisiana",0.0
748,"Franklin, Maine",0.0
749,"Franklin, Massachusetts",0.0
750,"Franklin, Missouri",0.0
751,"Franklin, Nebraska",0.0
752,"Franklin, New York",0.0
753,"Franklin, North Carolina",0.0
754,"Franklin, Ohio",0.0
755,"Franklin, Pennsylvania",0.0
756,"Franklin, Texas",0.0
757,"Franklin, Vermont",0.0
758,"Franklin, Virginia",0.0
759,"Franklin, Washington",0.0
760,"Frederick, Maryland",0.00035714285714285714
761,"Frederick, Virginia",0.0
762,"Freeborn, Minnesota",0.0
763,"Freestone, Texas",0.0
764,"Fremont, Idaho",0.0
765,"Fremont, Wyoming",0.0
766,"Fresno, California",0.0
767,"Frio, Texas",0.0
768,"Frontier, Nebraska",0.0
769,"Fulton, Arkansas",0.0
770,"Fulton, Illinois",0.0
771,"Fulton, Indiana",0.0
772,"Fulton, Kentucky",0.0
773,"Fulton, New York",0.0
774,"Fulton, Pennsylvania",0.0
775,"Furnas, Nebraska",0.0
