,county,cyanide
666,"Floyd, Kentucky",0.0
667,"Floyd, Virginia",0.0
668,"Fluvanna, Virginia",0.0
669,"Ford, Illinois",0.4837209302325581
670,"Forest, Pennsylvania",0.0
671,"Forest, Wisconsin",8.2
672,"Forsyth, North Carolina",0.0
673,"Fort bend, Texas",0.0
674,"Fountain, Indiana",22.0
675,"Franklin county, Missouri",0.0
676,"Franklin county, New York",0.0
677,"Franklin county, Ohio",0.0
678,"Franklin county, Pennsylvania",0.0
679,"Franklin, Alabama",0.0
680,"Franklin, Arkansas",2.6315789473684212
681,"Franklin, Florida",1.4
682,"Franklin, Illinois",0.0
683,"Franklin, Indiana",0.0
684,"Franklin, Kentucky",0.0
685,"Franklin, Louisiana",0.0
686,"Franklin, Maine",0.0
687,"Franklin, Massachusetts",0.0
688,"Franklin, Missouri",0.8195804195804195
689,"Franklin, Nebraska",0.0
690,"Franklin, New York",0.0
691,"Franklin, North Carolina",0.0
692,"Franklin, Ohio",0.0
693,"Franklin, Pennsylvania",0.0
694,"Franklin, Tennessee",0.0
695,"Franklin, Vermont",0.0
696,"Franklin, Virginia",0.7023809523809523
697,"Franklin, Washington",0.0
698,"Frederick, Maryland",0.0
699,"Frederick, Virginia",0.0
700,"Freeborn, Minnesota",0.0
701,"Freestone, Texas",2.857142857142857
702,"Fremont, Idaho",0.0
703,"Fremont, Wyoming",0.2830188679245283
704,"Fresno, California",0.0
705,"Frontier, Nebraska",0.0
706,"Fulton, Arkansas",0.0
707,"Fulton, Illinois",0.51
708,"Fulton, Indiana",0.0
709,"Fulton, Kentucky",0.0
710,"Fulton, New York",0.47368421052631576
711,"Fulton, Ohio",0.5516129032258065
712,"Fulton, Pennsylvania",0.0
713,"Furnas, Nebraska",0.0
714,"Gadsden, Florida",0.7866666666666666
715,"Gage, Nebraska",0.0
716,"Gaines, Texas",0.0
717,"Gallatin, Illinois",0.0
718,"Gallatin, Kentucky",0.0
719,"Gallatin, Montana",0.0
720,"Gallia, Ohio",0.0
721,"Galveston, Texas",0.0
722,"Garden, Nebraska",0.0
723,"Garfield, Nebraska",0.0
724,"Garfield, Oklahoma",0.0
725,"Garfield, Utah",0.0
726,"Garfield, Washington",0.0
727,"Garland, Arkansas",0.0
728,"Garrard, Kentucky",0.0
729,"Garvin, Oklahoma",0.0
730,"Garza, Texas",0.0
731,"Gasconade, Missouri",0.0
732,"Gaston, North Carolina",0.0
733,"Gates, North Carolina",0.0
734,"Geauga, Ohio",0.0
735,"Gem, Idaho",0.0
736,"Genesee, Michigan",0.0
737,"Genesee, New York",0.0
738,"Geneva, Alabama",0.0
739,"Gibson, Indiana",0.0
740,"Gibson, Tennessee",0.7818181818181817
741,"Gila, Arizona",0.0
742,"Gilchrist, Florida",0.0
743,"Giles, Tennessee",0.0
744,"Giles, Virginia",0.0
745,"Gillespie, Texas",5.6
746,"Gilliam, Oregon",0.0
747,"Gilmer, West Virginia",0.0
748,"Glacier, Montana",0.0
749,"Glades, Florida",1.4444444444444444
750,"Gladwin, Michigan",0.0
751,"Glenn, California",0.0
752,"Gloucester, New Jersey",0.224
753,"Gloucester, Virginia",0.0
754,"Gogebic, Michigan",0.0
755,"Goochland, Virginia",0.0
