,county,xylenes_total
391,"Cass, Indiana",0.0
392,"Cass, Iowa",0.908125
393,"Cass, Michigan",0.0
394,"Cass, Minnesota",0.029285714285714286
395,"Cass, Missouri",0.0
396,"Cass, Nebraska",0.026898148148148147
397,"Cass, North Dakota",0.0
398,"Cass, Texas",0.0
399,"Cassia, Idaho",0.0
400,"Castro, Texas",0.17388888888888887
401,"Caswell, North Carolina",0.02962962962962963
402,"Catahoula, Louisiana",0.0
403,"Catawba, North Carolina",0.44862745098039214
404,"Catron, New Mexico",0.0
405,"Cavalier, North Dakota",0.0
406,"Cecil, Maryland",0.14028103044496487
407,"Cedar, Iowa",0.9458333333333333
408,"Cedar, Missouri",7.816
409,"Cedar, Nebraska",0.08208391608391608
410,"Centre county, Pennsylvania",0.23785714285714285
411,"Centre, Pennsylvania",0.010899182561307902
412,"Cerro gordo, Iowa",0.5608695652173913
413,"Chambers, Alabama",0.0
414,"Chambers, Texas",0.08
415,"Champaign, Illinois",0.3982878
416,"Champaign, Ohio",0.0
417,"Chariton, Missouri",0.03571428571428571
418,"Charles city, Virginia",0.3459459459459459
419,"Charles mix, South Dakota",0.0
420,"Charles, Maryland",0.35315315315315315
421,"Charleston county, South Carolina",0.39125
422,"Charleston, South Carolina",0.6095652173913044
423,"Charlevoix, Michigan",0.04938271604938271
424,"Charlotte, Florida",1.6251923076923078
425,"Charlotte, Virginia",0.1380952380952381
426,"Chase, Kansas",0.0
427,"Chase, Nebraska",0.0
428,"Chatham, North Carolina",0.24482758620689657
429,"Chautauqua, Kansas",0.18571428571428572
430,"Chaves, New Mexico",0.0
431,"Cheatham, Tennessee",0.0
432,"Cheboygan, Michigan",0.08333333333333333
433,"Chelan, Washington",0.0
434,"Cherokee, Alabama",0.0
435,"Cherokee, Iowa",0.7833333333333333
436,"Cherokee, Kansas",0.3875
437,"Cherokee, North Carolina",0.0
438,"Cherokee, Oklahoma",0.02784
439,"Cherokee, South Carolina",0.0
440,"Cherokee, Texas",0.21236363636363637
441,"Cherry, Nebraska",0.0
442,"Chesapeake city, Virginia",0.0
443,"Chesapeake, Virginia",0.098
444,"Cheshire, New Hampshire",0.0
445,"Chester county, Pennsylvania",0.0
446,"Chester, Pennsylvania",0.0741585535465925
447,"Chester, South Carolina",0.0
448,"Chester, Tennessee",0.0
449,"Chesterfield, South Carolina",0.0
450,"Chesterfield, Virginia",0.0
451,"Cheyenne, Kansas",0.0
452,"Cheyenne, Nebraska",0.0
453,"Chickasaw, Iowa",0.252
454,"Chicot, Arkansas",0.09233333333333334
455,"Chilton, Alabama",0.03347826086956522
456,"Chippewa, Michigan",0.1694915254237288
457,"Chippewa, Minnesota",0.11000000000000001
458,"Chippewa, Wisconsin",0.016666666666666666
459,"Chisago, Minnesota",0.152
460,"Chittenden, Vermont",0.8188811188811188
461,"Choctaw, Alabama",0.11312499999999999
462,"Choctaw, Oklahoma",0.0
463,"Chouteau, Montana",0.037142857142857144
464,"Chowan, North Carolina",0.2625
465,"Christian, Illinois",0.0
466,"Christian, Kentucky",0.0
467,"Christian, Missouri",0.0048823529411764705
468,"Churchill, Nevada",0.19999999999999998
469,"Cibola, New Mexico",0.0
470,"Cimarron, Oklahoma",1.2285714285714286
471,"Citrus county, Florida",0.0
472,"Citrus, Florida",0.6462666666666669
473,"Clackamas, Oregon",0.015860215053763442
474,"Claiborne, Louisiana",0.0
475,"Claiborne, Tennessee",0.0
476,"Clallam, Washington",0.00641025641025641
477,"Clare, Michigan",0.0
478,"Clarendon, South Carolina",0.0
479,"Clarion, Pennsylvania",0.010344827586206896
480,"Clark county, Nevada",0.0
481,"Clark, Arkansas",0.6715217391304348
482,"Clark, Idaho",0.0
483,"Clark, Illinois",0.17678260869565215
484,"Clark, Indiana",0.0
485,"Clark, Kansas",0.0
486,"Clark, Kentucky",0.0
487,"Clark, Missouri",0.0
488,"Clark, Nevada",0.24665954415954416
489,"Clark, Ohio",0.21285714285714283
490,"Clark, South Dakota",0.0
491,"Clark, Washington",0.0002192982456140351
492,"Clark, Wisconsin",0.00592964824120603
493,"Clarke, Alabama",0.02368421052631579
494,"Clarke, Iowa",0.5142857142857143
495,"Clarke, Virginia",0.2786885245901639
496,"Clatsop, Oregon",0.07323943661971831
497,"Clay, Alabama",0.0
498,"Clay, Arkansas",0.022264150943396226
499,"Clay, Florida",0.2909815950920246
500,"Clay, Illinois",0.0
501,"Clay, Indiana",0.0
502,"Clay, Iowa",0.6250000000000001
503,"Clay, Kansas",3.1500000000000004
504,"Clay, Kentucky",0.0
505,"Clay, Minnesota",0.18307692307692308
506,"Clay, Missouri",0.0
507,"Clay, Nebraska",0.0
508,"Clay, North Carolina",0.0
509,"Clay, South Dakota",0.0
510,"Clay, Tennessee",0.0
511,"Clay, Texas",0.1061904761904762
