,county,di(2-ethylhexyl)_phthalate
630,"Edmonson, Kentucky",0.0
631,"Edwards, Illinois",0.0
632,"Edwards, Texas",0.0
633,"Effingham, Illinois",0.0
634,"El dorado, California",0.0
635,"El paso, Texas",0.0
636,"Elk, Pennsylvania",0.0
637,"Elkhart, Indiana",0.19934640522875818
638,"Elko, Nevada",0.10979020979020979
639,"Elliott, Kentucky",0.0
640,"Ellis, Texas",0.06464285714285714
641,"Elmore, Alabama",0.0
642,"Elmore, Idaho",0.1803448275862069
643,"Emery, Utah",0.0007959183673469387
644,"Emmet, Iowa",1.8529411764705883
645,"Erath, Texas",0.0
646,"Erie county, Pennsylvania",0.0
647,"Erie, New York",0.04
648,"Erie, Ohio",0.0
649,"Erie, Pennsylvania",0.10869565217391304
650,"Escambia, Alabama",0.015988636363636365
651,"Escambia, Florida",0.11764705882352941
652,"Esmeralda, Nevada",0.0
653,"Essex county, New York",0.0
654,"Essex, Massachusetts",0.0074285714285714285
655,"Essex, New Jersey",0.0
656,"Essex, New York",0.0
657,"Essex, Vermont",0.0
658,"Estill, Kentucky",0.125
659,"Etowah, Alabama",0.02
660,"Eureka county, Nevada",0.0
661,"Eureka, Nevada",0.0
662,"Evangeline parish, Louisiana",0.8142857142857143
663,"Evangeline, Louisiana",0.61475
664,"Fairbanks north star, Alaska",0.0
665,"Fairfax, Virginia",0.0
666,"Fairfield, Connecticut",0.0
667,"Fairfield, Ohio",0.085
668,"Fairfield, South Carolina",0.08888888888888889
669,"Fall river, South Dakota",0.0
670,"Fallon, Montana",0.0
671,"Falls, Texas",0.0
672,"Fannin, Texas",0.12181818181818183
673,"Faulk, South Dakota",0.0
674,"Fauquier, Virginia",0.0
675,"Fayette, Alabama",0.0
676,"Fayette, Illinois",0.03093086842105263
677,"Fayette, Indiana",0.0
